12:59:17.897 INFO  [main] - Starting CoinBotApplication using Java 17.0.7 with PID 5616 (/Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot/target/classes started by ansarismagilov in /Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot)
13:45:11.688 INFO  [main] - ADDED: id=3718 BitTorrent BTTOLD
13:45:11.688 INFO  [main] - ADDED: id=4195 FTX Token FTT
13:45:11.688 INFO  [main] - ADDED: id=5446 USDJ USDJ
13:45:11.688 INFO  [main] - ADDED: id=7548 WEMIX WEMIX
13:45:11.688 INFO  [main] - ADDED: id=6941 Huobi BTC HBTC
13:45:11.688 INFO  [main] - ADDED: id=17520 Orbler ORBR
13:45:11.688 INFO  [main] - ADDED: id=9566 Liquity USD LUSD
13:45:11.689 INFO  [main] - ADDED: id=5804 DeFiChain DFI
13:45:11.689 INFO  [main] - ADDED: id=9466 Edgecoin EDGT
13:45:11.689 INFO  [main] - ADDED: id=11976 Aleph Zero AZERO
13:45:11.689 INFO  [main] - ADDED: id=2499 SwissBorg CHSB
13:45:11.689 INFO  [main] - ADDED: id=3987 Beldex BDX
13:45:11.689 INFO  [main] - ADDED: id=9481 Pendle PENDLE
13:45:11.689 INFO  [main] - ADDED: id=22615 Fasttoken FTN
13:45:11.689 INFO  [main] - ADDED: id=27966 Dora Factory DORA
13:45:11.689 INFO  [main] - ADDED: id=10407 Baby Doge Coin BabyDoge
13:45:11.689 INFO  [main] - ADDED: id=4512 FINSCHIA FNSA
13:45:11.689 INFO  [main] - ADDED: id=27622 LUKSO LYX
13:45:11.690 INFO  [main] - ADDED: id=9025 Tribe TRIBE
13:45:11.690 INFO  [main] - ADDED: id=2496 Polymath POLY
13:45:11.690 INFO  [main] - ADDED: id=2989 STASIS EURO EURS
13:45:11.690 INFO  [main] - ADDED: id=27772 PayPal USD PYUSD
13:45:11.690 INFO  [main] - ADDED: id=5168 Bitcoin Classic BXC
13:45:11.690 INFO  [main] - ADDED: id=8677 Symbol XYM
13:45:11.690 INFO  [main] - ADDED: id=6651 USDX [Kava] USDX
13:45:11.690 INFO  [main] - ADDED: id=14101 Ronin RON
13:45:11.690 INFO  [main] - ADDED: id=5625 LUKSO (Old) LYXe
13:45:11.690 INFO  [main] - ADDED: id=12400 Decimal DEL
13:45:11.691 INFO  [main] - ADDED: id=3626 Rootstock Smart Bitcoin RBTC
