16:38:09.276 INFO  [main] c.kabgig.CoinBot.CoinBotApplication - Starting CoinBotApplication using Java 17.0.7 with PID 97581 (/Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot/target/classes started by ansarismagilov in /Users/ansarismagilov/Desktop/CODE/My Projects/CoinBot)
17:06:03.146 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1274 Waves WAVES
17:06:03.146 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=20314 Terra LUNA
17:06:03.146 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3640 Livepeer LPT
17:06:03.146 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1042 Siacoin SC
17:06:03.146 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3911 Ocean Protocol OCEAN
17:06:03.146 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5728 Balancer BAL
17:06:03.146 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=7455 Audius AUDIO
17:06:03.146 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4279 Solar SXP
17:06:03.147 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=3835 Orbs ORBS
17:06:03.147 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4944 Tellor TRB
17:06:03.147 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=8425 JasmyCoin JASMY
17:06:03.147 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5370 Hive HIVE
17:06:03.147 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2570 TomoChain TOMO
17:06:03.147 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2588 Loom Network LOOM
17:06:03.147 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2566 Ontology ONT
17:06:03.147 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=5034 Kusama KSM
17:06:03.147 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=8719 Illuvium ILV
17:06:03.147 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=17799 Axelar AXL
17:06:03.147 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=7429 Liquity LQTY
17:06:03.148 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=9543 Biconomy BICO
17:06:03.148 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=23246 tomiNet TOMI
17:06:03.148 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=2405 IOST IOST
17:06:03.148 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=4006 STP STPT
17:06:03.148 INFO  [main] com.kabgig.CoinBot.Utils.Logger - ADDED DATA TO LIST: id=1772 Storj STORJ
